"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"New Zealand","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Re-Export","12209230.16","25655520.599","Weight in kilograms","25655520.599"
"New Zealand","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","84846.754","24000","Weight in kilograms","24000"
"Nigeria","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","37380669161.523","","No Quantity",""
"Norway","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","719775448.484","1138175000","Weight in kilograms","1138175000"
"Norway","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","49293154558.329","84025184200","Weight in kilograms","84025184200"
"Pakistan","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","5608000766.516","9748245000","Weight in kilograms","9748245000"
"Pakistan","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","67590587.631","105219000","Weight in kilograms","105219000"
"Paraguay","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","236.55","8.2","Weight in kilograms","8.2"
"Philippines","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","168274610","284114200","Weight in kilograms","284114200"
"Philippines","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","3710128605","6483423000","Weight in kilograms","6483423000"
"Poland","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","101266882","182634768.607","Weight in kilograms","182634768.607"
"Poland","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","15192763299","24977062651","Weight in kilograms","24977062651"
"Portugal","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","6414337735.498","10687346780","Weight in kilograms","10687346780"
"Rep. of Korea","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","50","6.8","Weight in kilograms","6.8"
"Rep. of Korea","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","85334419380","137180040598.918","Weight in kilograms","137180040598.918"
"Rep. of Moldova","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","7056","1770","Weight in kilograms","1770"
"Rep. of Moldova","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","628303","1583990","Weight in kilograms","1583990"
"Romania","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","4972493450.11","","No Quantity",""
"Romania","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","7529175.58","12431004","Weight in kilograms","12431004"
"Slovakia","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","2449069017.746","","No Quantity",""
"Slovakia","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","694156.411","1227160","Weight in kilograms","1227160"
"Slovenia","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","203.895","40.9","Weight in kilograms","40.9"
"Slovenia","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","1149.046","777.57","Weight in kilograms","777.57"
"South Africa","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","51467094.764","92738173.157","Weight in kilograms","92738173.157"
"South Africa","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","5173888228.183","","Weight in kilograms","8236825718.068"
"Spain","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","36623430237.103","","No Quantity",""
"Spain","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","1884603895.643","","No Quantity",""
"Sri Lanka","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","766353167.895","1519432796","Weight in kilograms","1519432796"
"Sri Lanka","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","3431.74","120","Weight in kilograms","120"
"Sweden","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","190771.116","40975.61","Weight in kilograms","40975.61"
"Sweden","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","11262589794.7","17740083875.367","Weight in kilograms","17740083875.367"
"Switzerland","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","1569790699.673","2586715000","Weight in kilograms","2586715000"
"Switzerland","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","1966.061","165","Weight in kilograms","165"
"Thailand","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","33495252021","","Weight in kilograms","177761799264"
"Thailand","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","582521347.29","992530784.746","Weight in kilograms","992530784.746"
"Trinidad and Tobago","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","2854.17","","No Quantity",""
"Trinidad and Tobago","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","1616071557.072","2766349534.118","Weight in kilograms","2766349534.118"
"Trinidad and Tobago","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Re-Export","227.551","22","Weight in kilograms","22"
"Ukraine","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","14904.14","24371","Weight in kilograms","24371"
"United Kingdom","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","30768618161.552","","No Quantity",""
"United Kingdom","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","16055724448.938","","No Quantity",""
"USA","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","118499361483","238788419322","Weight in kilograms","238788419322"
"USA","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","174423623898","375657066222","Weight in kilograms","375657066222"
"USA","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Re-Export","3957351707","8414000001","Weight in kilograms","8414000001"
"Uzbekistan","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","620009600.99","1041374590","Weight in kilograms","1041374590"
"Zimbabwe","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","790026.253","1389083","Weight in kilograms","1389083"

