year,country,flow,product_group,commodity_key,total_trade_usd,total_weight_kg,total_weight_tonnes,total_quantity,rows,any_quantity_available,any_weight_available
2024,DENMARK,import,refined_products,light_oils_refined,401939234.87,582152038.811,582152.038811,582152038.811,1,TRUE,TRUE
2024,DOMINICAN REP.,export,crude_oil,crude_oil,3365,54,0.054,54,1,TRUE,TRUE
2024,DOMINICAN REP.,export,lng,lng,204781.054,454911,454.911,454911,1,TRUE,TRUE
2024,DOMINICAN REP.,export,refined_products,light_oils_refined,54688575.721,82271445.817,82271.445817,82211635.817,1,TRUE,TRUE
2024,DOMINICAN REP.,import,crude_oil,crude_oil,801988408.816,1239239798.8,1239239.7988,1239201428.8,1,TRUE,TRUE
2024,DOMINICAN REP.,import,lng,lng,790127278.68,1842142290,1842142.29,1842142290,1,TRUE,TRUE
2024,DOMINICAN REP.,import,refined_products,light_oils_refined,2848182601.837,0,0,0,1,FALSE,FALSE
2024,ECUADOR,export,crude_oil,crude_oil,7834790006.4,17091526369,17091526.369,17091526369,1,TRUE,TRUE
2024,ECUADOR,export,refined_products,light_oils_refined,2755.47,267.411,0.267411,267.411,1,TRUE,TRUE
2024,ECUADOR,import,crude_oil,crude_oil,8288.492,959.58,0.95958,959.58,1,TRUE,TRUE
2024,ECUADOR,import,lng,lng,48478.42,92170.87,92.17087,92170.87,1,TRUE,TRUE
2024,ECUADOR,import,refined_products,light_oils_refined,120251242.472,105735721.144,105735.721144,105735721.144,1,TRUE,TRUE
2024,EGYPT,export,crude_oil,crude_oil,1408882000,2538653939.452,2538653.939452,2538653939.452,1,TRUE,TRUE
2024,EGYPT,export,lng,lng,313820000,525559583.832,525559.583832,525559583.832,1,TRUE,TRUE
2024,EGYPT,export,refined_products,light_oils_refined,3011933604.39,3225601175.19,3225601.17519,3225601175.19,1,TRUE,TRUE
2024,EGYPT,import,crude_oil,crude_oil,825180000,1313685867.625,1313685.867625,1313685867.625,1,TRUE,TRUE
2024,EGYPT,import,lng,lng,4900650000,9286657898.641,9286657.898641001,9286657898.641,1,TRUE,TRUE
2024,EGYPT,import,refined_products,light_oils_refined,7106216638.188,7614664361.807,7614664.361807,7614664361.807,1,TRUE,TRUE
2024,EL SALVADOR,export,refined_products,light_oils_refined,52410207.61,60226670.92,60226.670920000004,60226670.92,1,TRUE,TRUE
2024,EL SALVADOR,import,crude_oil,crude_oil,45292.5,32616.78,32.61678,32616.78,1,TRUE,TRUE
2024,EL SALVADOR,import,lng,lng,181482442.9,350078530,350078.53,350078530,1,TRUE,TRUE
2024,EL SALVADOR,import,refined_products,light_oils_refined,775742326.7,874978101.42,874978.10142,874978101.42,1,TRUE,TRUE
2024,ESTONIA,export,crude_oil,crude_oil,65.23,6,0.006,6,1,TRUE,TRUE
2024,ESTONIA,export,lng,lng,7353360.48,11308910,11308.91,11308910,1,TRUE,TRUE
2024,ESTONIA,export,refined_products,light_oils_refined,162407300.64,224410612.314,224410.612314,224410612.314,1,TRUE,TRUE
2024,ESTONIA,import,crude_oil,crude_oil,76.63,14,0.014,14,1,TRUE,TRUE
2024,ESTONIA,import,lng,lng,15129478.73,26676574,26676.574,26676574,1,TRUE,TRUE
2024,ESTONIA,import,refined_products,light_oils_refined,212398811.14,0,0,0,1,FALSE,FALSE
2024,ESTONIA,re-export,refined_products,light_oils_refined,1445844.83,1789360,1789.36,1789360,1,TRUE,TRUE
2024,EU-28,export,crude_oil,crude_oil,395280286.61,0,0,0,1,FALSE,FALSE
2024,EU-28,export,lng,lng,638418594.769,0,0,0,1,FALSE,FALSE
2024,EU-28,export,refined_products,light_oils_refined,45940577031.506,58347481822.012,58347481.822012,58347481822.012,1,TRUE,TRUE
2024,EU-28,import,crude_oil,crude_oil,283461601819.701,0,0,0,1,FALSE,FALSE
2024,EU-28,import,lng,lng,39639572733.201,72758859144.678,72758859.144678,72758859144.678,1,TRUE,TRUE
2024,EU-28,import,refined_products,light_oils_refined,12896964122.262,17173877595.921,17173877.595921,17173877595.921,1,TRUE,TRUE
2024,FIJI,export,crude_oil,crude_oil,69694.484,42900,42.9,42900,1,TRUE,TRUE
2024,FIJI,export,lng,lng,529.031,400,0.4,400,1,TRUE,TRUE
2024,FIJI,export,refined_products,light_oils_refined,293702151.644,396199897,396199.897,396199897,1,TRUE,TRUE
2024,FIJI,import,crude_oil,crude_oil,60544.019,47451.1,47.4511,47451.1,1,TRUE,TRUE
2024,FIJI,import,refined_products,light_oils_refined,659715395.256,0,0,942635520.6,1,TRUE,FALSE
2024,FIJI,re-export,crude_oil,crude_oil,69694.484,42900,42.9,42900,1,TRUE,TRUE
2024,FIJI,re-export,lng,lng,529.031,400,0.4,400,1,TRUE,TRUE
2024,FIJI,re-export,refined_products,light_oils_refined,293698479.731,396198727,396198.727,396198727,1,TRUE,TRUE
2024,FINLAND,export,crude_oil,crude_oil,297.655,248,0.248,248,1,TRUE,TRUE
2024,FINLAND,export,lng,lng,36022211.606,53785626,53785.626,53785626,1,TRUE,TRUE
2024,FINLAND,export,refined_products,light_oils_refined,2106720883.946,2283282057.791,2283282.0577909998,2283282057.791,1,TRUE,TRUE
2024,FINLAND,import,crude_oil,crude_oil,5450134512.782,8676609571.363,8676609.571363,8676609571.363,1,TRUE,TRUE
2024,FINLAND,import,lng,lng,896140324.118,1626861762.965,1626861.762965,1626861762.965,1,TRUE,TRUE
2024,FINLAND,import,refined_products,light_oils_refined,811915137.57,0,0,0,1,FALSE,FALSE
2024,FRANCE,export,crude_oil,crude_oil,16103887.031,24440664.903,24440.664903,24440664.903,1,TRUE,TRUE
2024,FRANCE,export,lng,lng,38074517.526,63764029.015,63764.029015,63764029.015,1,TRUE,TRUE
2024,FRANCE,export,refined_products,light_oils_refined,4451681721.083,0,0,0,1,FALSE,FALSE
2024,FRANCE,import,crude_oil,crude_oil,29685193775.098,47020133246.088,47020133.246088,47020133246.088,1,TRUE,TRUE
2024,FRANCE,import,lng,lng,10915238820.327,20684213075.07,20684213.07507,20684213075.07,1,TRUE,TRUE
2024,FRANCE,import,refined_products,light_oils_refined,7043791257.016,0,0,0,1,FALSE,FALSE
2024,FRENCH POLYNESIA,import,refined_products,light_oils_refined,118894.327,32592.542,32.592542,32592.542,1,TRUE,TRUE
2024,GEORGIA,export,refined_products,light_oils_refined,60379583.871,0,0,0,1,FALSE,FALSE
2024,GEORGIA,import,crude_oil,crude_oil,5845497.911,0,0,0,1,FALSE,FALSE
2024,GEORGIA,import,lng,lng,86446.895,0,0,0,1,FALSE,FALSE
2024,GEORGIA,import,refined_products,light_oils_refined,583488858.498,726956837.14,726956.83714,0,1,FALSE,TRUE
2024,GEORGIA,re-export,refined_products,light_oils_refined,59583941.281,0,0,0,1,FALSE,FALSE
2024,GERMANY,export,crude_oil,crude_oil,1171356.463,0,0,0,1,FALSE,FALSE
2024,GERMANY,export,lng,lng,5614557.476,6213350,6213.35,6213350,1,TRUE,TRUE
2024,GERMANY,export,refined_products,light_oils_refined,5263538517.264,6265194179.719,6265194.179719,6265194179.719,1,TRUE,TRUE
2024,GERMANY,import,crude_oil,crude_oil,48408417527.171,78435091548,78435091.548,78435091548,1,TRUE,TRUE
2024,GERMANY,import,lng,lng,2939222000.572,4783690000,4783690,4783690000,1,TRUE,TRUE
2024,GERMANY,import,refined_products,light_oils_refined,6494202532.878,8669134535.439,8669134.535439,8669134535.439,1,TRUE,TRUE
2024,GREECE,export,crude_oil,crude_oil,42743484.702,81595300,81595.3,81595300,1,TRUE,TRUE
2024,GREECE,export,lng,lng,2917579.26,3742681,3742.681,3742681,1,TRUE,TRUE
2024,GREECE,export,refined_products,light_oils_refined,3999866542.115,5110455358,5110455.358,5110455358,1,TRUE,TRUE
2024,GREECE,import,crude_oil,crude_oil,14772480141.182,0,0,0,1,FALSE,FALSE
2024,GREECE,import,lng,lng,1249173690.21,1609303880,1609303.88,1609303880,1,TRUE,TRUE
2024,GREECE,import,refined_products,light_oils_refined,373750852.209,540707028.112,540707.028112,540707028.112,1,TRUE,TRUE
2024,GRENADA,import,crude_oil,crude_oil,1102.815,148.88,0.14887999999999998,148.88,1,TRUE,TRUE
2024,GRENADA,import,lng,lng,340.833,74.13,0.07413,74.13,1,TRUE,TRUE
2024,GRENADA,import,refined_products,light_oils_refined,35067206.017,35924430.601,35924.430601,35924430.601,1,TRUE,TRUE
2024,GUATEMALA,export,crude_oil,crude_oil,79249884,175536878,175536.878,175536878,1,TRUE,TRUE
2024,GUATEMALA,export,refined_products,light_oils_refined,19787148,20854474,20854.474,20854474,1,TRUE,TRUE
2024,GUATEMALA,import,crude_oil,crude_oil,422735,95093,95.093,95093,1,TRUE,TRUE
2024,GUATEMALA,import,refined_products,light_oils_refined,1840876198,2259235640,2259235.64,2259235640,1,TRUE,TRUE
2024,GUYANA,export,crude_oil,crude_oil,18174887650.995,16620929331,16620929.331,16620929331,1,TRUE,TRUE
2024,GUYANA,export,lng,lng,163963.718,229308,229.308,229308,1,TRUE,TRUE
2024,GUYANA,export,refined_products,light_oils_refined,26544.583,19058.5,19.0585,19058.5,1,TRUE,TRUE
2024,GUYANA,import,crude_oil,crude_oil,7447.789,0,0,0,1,FALSE,FALSE
2024,GUYANA,import,lng,lng,674549.731,896027.92,896.02792,896027.92,1,TRUE,TRUE
2024,GUYANA,import,refined_products,light_oils_refined,234694053.887,320097444.48,320097.44448,320097444.48,1,TRUE,TRUE
2024,GUYANA,re-export,lng,lng,163868.437,228820,228.82,228820,1,TRUE,TRUE
2024,GUYANA,re-export,refined_products,light_oils_refined,26418.333,19057.5,19.0575,19057.5,1,TRUE,TRUE
2024,HUNGARY,export,crude_oil,crude_oil,63143741,103179818,103179.818,103179818,1,TRUE,TRUE
2024,HUNGARY,export,refined_products,light_oils_refined,331832099,348849698.458,348849.698458,348849698.458,1,TRUE,TRUE
2024,HUNGARY,import,crude_oil,crude_oil,2860748264,5445919288,5445919.288,5445919288,1,TRUE,TRUE
2024,HUNGARY,import,lng,lng,266701,0,0,0,1,FALSE,FALSE
