provider,source_dataset,source_file,source_layer,source_id,asset_class,asset_label,provider_class,subclass,name,status,country,commodity_group,liquid_capacity_bpd,liquid_throughput_bpd,gas_capacity_mmcfd,gas_throughput_mmcfd,lng_capacity_mtpa,lng_capacity_bcmy,oil_production_bpd,capacity_kbd,production_kbd,primary_output_kind,primary_output_value,primary_output_unit,primary_output_basis,geometry_role,provider_priority,lat,lon
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,300,refinery,Refinery,CRUDE OIL REFINERIES,,K3-HADITHA,N/A,IRAQ,oil,14000,,,,,,,14,,liquid_capacity,14000,bpd,capacity,site,1,34.07004,42.36076
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,329,refinery,Refinery,CRUDE OIL REFINERIES,,LITTLE ADEN,N/A,YEMEN,oil,130000,,,,,,,130,,liquid_capacity,130000,bpd,capacity,site,1,12.75074,44.8822
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,346,refinery,Refinery,CRUDE OIL REFINERIES,,ASSAB,N/A,ERITREA,oil,14600,,,,,,,14.6,,liquid_capacity,14600,bpd,capacity,site,1,12.98584,42.73356
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,354,refinery,Refinery,CRUDE OIL REFINERIES,,KHARTOUM,N/A,SUDAN,oil,70000,,,,,,,70,,liquid_capacity,70000,bpd,capacity,site,1,15.53119,32.48407
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,353,refinery,Refinery,CRUDE OIL REFINERIES,,EL-GILY,N/A,SUDAN,oil,50000,,,,,,,50,,liquid_capacity,50000,bpd,capacity,site,1,16.98083,32.2968
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,355,refinery,Refinery,CRUDE OIL REFINERIES,,PORT SUDAN,N/A,SUDAN,oil,21700,,,,,,,21.7,,liquid_capacity,21700,bpd,capacity,site,1,19.55591,37.23416
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,322,refinery,Refinery,CRUDE OIL REFINERIES,,YANBU,N/A,SAUDI ARABIA,oil,225000,,,,,,,225,,liquid_capacity,225000,bpd,capacity,site,1,23.97722,38.23964
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,340,refinery,Refinery,CRUDE OIL REFINERIES,,MOSTOROD,N/A,EGYPT,oil,47000,,,,,,,47,,liquid_capacity,47000,bpd,capacity,site,1,27.1962,30.99116
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,344,refinery,Refinery,CRUDE OIL REFINERIES,,WADI- FERAN,N/A,EGYPT,oil,8550,,,,,,,8.55,,liquid_capacity,8550,bpd,capacity,site,1,28.73454,33.22161
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,342,refinery,Refinery,CRUDE OIL REFINERIES,,EL-SUEZ,N/A,EGYPT,oil,146000,,,,,,,146,,liquid_capacity,146000,bpd,capacity,site,1,29.95729,32.53276
