provider,source_dataset,source_file,source_layer,source_id,asset_class,asset_label,provider_class,subclass,name,status,country,commodity_group,liquid_capacity_bpd,liquid_throughput_bpd,gas_capacity_mmcfd,gas_throughput_mmcfd,lng_capacity_mtpa,lng_capacity_bcmy,oil_production_bpd,capacity_kbd,production_kbd,primary_output_kind,primary_output_value,primary_output_unit,primary_output_basis,geometry_role,provider_priority,lat,lon
GEM,ggit,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/GEM-GGIT-LNG-Teminals-2025-09.xlsx,LNG Terminals,T100000130686,lng_facility,LNG / LPG Facility,import,,Sumed BW FSRU,retired,Egypt,gas,,,,,5.7,7.76,,,,lng_capacity_mtpa,5.7,mtpa,capacity,site,2,29.602544099999996,32.3403948
GEM,ggit,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/GEM-GGIT-LNG-Teminals-2025-09.xlsx,LNG Terminals,T100000130691,lng_facility,LNG / LPG Facility,import,,Sudan Red Sea LNG Terminal,shelved,Sudan,gas,,,,,,,,,,,,,,site,2,19.580261999999998,37.240723
GEM,ggit,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/GEM-GGIT-LNG-Teminals-2025-09.xlsx,LNG Terminals,T100000130817,lng_facility,LNG / LPG Facility,export,,Qatar North Field LNG Terminal,construction,Qatar,gas,,,,,64,87.08,,,,lng_capacity_mtpa,64,mtpa,capacity,site,2,25.918690099999996,51.52770230000001
GEM,ggit,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/GEM-GGIT-LNG-Teminals-2025-09.xlsx,LNG Terminals,T100000130828,lng_facility,LNG / LPG Facility,import,,Hoegh Cyprus FSRU,cancelled,Cyprus,gas,,,,,,,,,,,,,,site,2,34.710168,33.323549
GEM,ggit,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/GEM-GGIT-LNG-Teminals-2025-09.xlsx,LNG Terminals,T100000130829,lng_facility,LNG / LPG Facility,export,,NewMed FLNG Terminal,proposed,Israel,gas,,,,,5.14,6.99,,,,lng_capacity_mtpa,5.14,mtpa,capacity,site,2,32.614000000000004,34.808
GEM,ggit,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/GEM-GGIT-LNG-Teminals-2025-09.xlsx,LNG Terminals,T100000130916,lng_facility,LNG / LPG Facility,export,,South Pars LNG Terminal,cancelled,Iran,gas,,,,,10,13.61,,,,lng_capacity_mtpa,10,mtpa,capacity,site,2,26.619125000000004,52.067963999999996
GEM,ggit,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/GEM-GGIT-LNG-Teminals-2025-09.xlsx,LNG Terminals,T100000130963,lng_facility,LNG / LPG Facility,import,,Beddawi FSRU,cancelled,Lebanon,gas,,,,,3.5,4.76,,,,lng_capacity_mtpa,3.5,mtpa,capacity,site,2,34.466704,35.832663000000004
GEM,ggit,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/GEM-GGIT-LNG-Teminals-2025-09.xlsx,LNG Terminals,T100000130964,lng_facility,LNG / LPG Facility,import,,Selaata FSRU,cancelled,Lebanon,gas,,,,,,,,,,,,,,site,2,34.281578,35.650966999999994
GEM,ggit,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/GEM-GGIT-LNG-Teminals-2025-09.xlsx,LNG Terminals,T100000130965,lng_facility,LNG / LPG Facility,import,,Zahrani FSRU,shelved,Lebanon,gas,,,,,,,,,,,,,,site,2,33.508047000000005,35.342265499999996
GEM,ggit,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/GEM-GGIT-LNG-Teminals-2025-09.xlsx,LNG Terminals,T100000130972,lng_facility,LNG / LPG Facility,import,,Sharjah FSRU,cancelled,United Arab Emirates,gas,,,,,7.67,10.44,,,,lng_capacity_mtpa,7.67,mtpa,capacity,site,2,25.379099,55.387510999999996
GEM,ggit,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/GEM-GGIT-LNG-Teminals-2025-09.xlsx,LNG Terminals,T100000131105,lng_facility,LNG / LPG Facility,export,,Ruwais LNG Terminal,construction,United Arab Emirates,gas,,,,,4.8,6.53,,,,lng_capacity_mtpa,4.8,mtpa,capacity,site,2,24.13523,52.652260000000005
GEM,ggit,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/GEM-GGIT-LNG-Teminals-2025-09.xlsx,LNG Terminals,T100000131158,lng_facility,LNG / LPG Facility,import,,Al-Faw FSRU Terminal,proposed,Iraq,gas,,,,,7.67,10.44,,,,lng_capacity_mtpa,7.67,mtpa,capacity,site,2,29.89549999999999,48.435875100000004
GEM,ggit,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/GEM-GGIT-LNG-Teminals-2025-09.xlsx,LNG Terminals,T100001048168,lng_facility,LNG / LPG Facility,import,,Khor Al-Zubair FSRU,proposed,Iraq,gas,,,,,3.83,5.21,,,,lng_capacity_mtpa,3.83,mtpa,capacity,site,2,30.195356,47.883483
GEM,ggit,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/GEM-GGIT-LNG-Teminals-2025-09.xlsx,LNG Terminals,T100001048176,lng_facility,LNG / LPG Facility,import,,Sheikh Sabah LNG Terminal,proposed,Jordan,gas,,,,,5.48,7.46,,,,lng_capacity_mtpa,5.48,mtpa,capacity,site,2,29.376271,34.963801000000004
GEM,ggit,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/GEM-GGIT-LNG-Teminals-2025-09.xlsx,LNG Terminals,T100001048245,lng_facility,LNG / LPG Facility,import,,Deir Ammar FSRU,proposed,Lebanon,gas,,,,,,,,,,,,,,site,2,34.467572000000004,35.894171
GEM,ggit,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/GEM-GGIT-LNG-Teminals-2025-09.xlsx,LNG Terminals,T100001048370,lng_facility,LNG / LPG Facility,export,,Cyprus LNG Terminal,cancelled,Cyprus,gas,,,,,5,6.8,,,,lng_capacity_mtpa,5,mtpa,capacity,site,2,34.72772000000001,33.30103999999999
