site_id,asset_class,asset_label,asset_rank,map_color,name,status,country,lat,lon,geometry_role,primary_provider,primary_dataset,provider_priority,provider_sources,source_datasets,source_ids,provider_classes,subclasses,record_count
site_813,extraction_site,Extraction Site,8,#b2182b,HAFAR,,OMAN,22.606208999999858,56.95831912653352,site,OGIM,ogim,1,OGIM,ogim,2064115,OIL AND NATURAL GAS FIELDS,,1
site_814,extraction_site,Extraction Site,8,#b2182b,HAFT GEI,,IRAN,31.48277777617266,49.50241297465499,site,OGIM,ogim,1,OGIM,ogim,2063893,OIL AND NATURAL GAS FIELDS,,1
site_815,extraction_site,Extraction Site,8,#b2182b,HAGIL,,UNITED ARAB EMIRATES,25.89805758475389,56.085816983384575,site,OGIM,ogim,1,OGIM,ogim,2064540,OIL AND NATURAL GAS FIELDS,,1
site_816,extraction_site,Extraction Site,8,#b2182b,HAIMA,,OMAN,19.936048999999947,56.23439732697736,site,OGIM,ogim,1,OGIM,ogim,2064300,OIL AND NATURAL GAS FIELDS,,1
site_817,extraction_site,Extraction Site,8,#b2182b,HAJAL,,OMAN,18.5292765,56.07180029223382,site,OGIM,ogim,1,OGIM,ogim,2064260,OIL AND NATURAL GAS FIELDS,,1
site_818,extraction_site,Extraction Site,8,#b2182b,HALAWA (JC 65),,EGYPT,31.221849999907523,31.426552687900333,site,OGIM,ogim,1,OGIM,ogim,2059209,OIL AND NATURAL GAS FIELDS,,1
site_819,extraction_site,Extraction Site,8,#b2182b,HALEWAH,,YEMEN,15.330109797732398,46.032335352399535,site,OGIM,ogim,1,OGIM,ogim,2064612,OIL AND NATURAL GAS FIELDS,,1
site_820,extraction_site,Extraction Site,8,#b2182b,HALFAYA,,IRAQ,31.631558159233123,47.50791400324216,site,OGIM,ogim,1,OGIM,ogim,2064079,OIL AND NATURAL GAS FIELDS,,1
site_821,extraction_site,Extraction Site,8,#b2182b,HAMRAT DURU,,OMAN,22.76817499999985,56.96151600314115,site,OGIM,ogim,1,OGIM,ogim,2064178,OIL AND NATURAL GAS FIELDS,,1
site_822,extraction_site,Extraction Site,8,#b2182b,HAMRIM,,IRAQ,34.89781556305805,43.92155633558845,site,OGIM,ogim,1,OGIM,ogim,2064026,OIL AND NATURAL GAS FIELDS,,1
site_823,extraction_site,Extraction Site,8,#b2182b,HAMRIN,,IRAQ,34.83193947389641,44.066755335421576,site,OGIM,ogim,1,OGIM,ogim,2063986,OIL AND NATURAL GAS FIELDS,,1
site_824,extraction_site,Extraction Site,8,#b2182b,HANA SOUTH 1,,EGYPT,28.366521500179587,32.97968644401587,site,OGIM,ogim,1,OGIM,ogim,2059675,OIL AND NATURAL GAS FIELDS,,1
site_825,extraction_site,Extraction Site,8,#b2182b,HANA/HANA WEST,,EGYPT,28.399756500022924,32.9595602150985,site,OGIM,ogim,1,OGIM,ogim,2059561,OIL AND NATURAL GAS FIELDS,,1
site_826,extraction_site,Extraction Site,8,#b2182b,HAPY NORTH 2,,EGYPT,32.188064000224045,32.89343100032633,site,OGIM,ogim,1,OGIM,ogim,2060392,OIL AND NATURAL GAS FIELDS,,1
site_827,extraction_site,Extraction Site,8,#b2182b,HARADH,,SAUDI ARABIA,24.25704351325768,49.045788387041895,site,OGIM,ogim,1,OGIM,ogim,2064457,OIL AND NATURAL GAS FIELDS,,1
site_828,extraction_site,Extraction Site,8,#b2182b,HARMALIYAH,,SAUDI ARABIA,24.59763719050904,49.48965239025202,site,OGIM,ogim,1,OGIM,ogim,2064528,OIL AND NATURAL GAS FIELDS,,1
site_829,extraction_site,Extraction Site,8,#b2182b,HARMATTAN DEEP 1,,EGYPT,31.535187999922417,31.820086999661697,site,OGIM,ogim,1,OGIM,ogim,2060208,OIL AND NATURAL GAS FIELDS,,1
