incident_id,incident_day,wave_number,site_id,site_name,country,asset_class,product_group,capacity_kboed_equiv,confidence_tier,distance_km,energy_relevant_flag,capacity_available_flag,capacity_source,match_quality,link_rank
wiki_20260303_iran_banned_food_exports_and_o_190,2026-03-03,,site_62,IRAN NIOC LNG TERMINAL,IRAN,lng_facility,gas,122.58620689655172,high,0,TRUE,TRUE,energy_sites_direct,energy_sites_direct,1
wiki_20260303_iran_continued_its_strikes_on__185,2026-03-03,,site_62,IRAN NIOC LNG TERMINAL,IRAN,lng_facility,gas,122.58620689655172,high,0,TRUE,TRUE,energy_sites_direct,energy_sites_direct,1
wiki_20260303_2026_iranian_strikes_on_qatar_113,2026-03-03,,site_67,QATAR NORTH FIELD LNG TERMINAL,QATAR,lng_facility,gas,187.93103448275863,high,0,TRUE,TRUE,energy_sites_direct,energy_sites_direct,1
wiki_20260303_on_11_march_qatar_said_that_th_73,2026-03-03,,site_67,QATAR NORTH FIELD LNG TERMINAL,QATAR,lng_facility,gas,187.93103448275863,high,0,TRUE,TRUE,energy_sites_direct,energy_sites_direct,1
wiki_20260303_fujairah_28,2026-03-03,,site_88,Fujairah LNG Terminal,UNITED ARAB EMIRATES,lng_facility,gas,442.68000000000006,high,0,TRUE,TRUE,energy_sites_direct,energy_sites_direct,1
wiki_20260303_in_late_february_2026_the_unit_69,2026-03-03,,site_91,Kangan LNG Terminal,IRAN,lng_facility,gas,47.6,high,1.1119492675886226e-4,TRUE,TRUE,energy_sites_direct,energy_sites_direct,2
wiki_20260303_iran_banned_food_exports_and_o_190,2026-03-03,,site_91,Kangan LNG Terminal,IRAN,lng_facility,gas,47.6,high,1.1119492675886226e-4,TRUE,TRUE,energy_sites_direct,energy_sites_direct,2
wiki_20260303_iran_continued_its_strikes_on__185,2026-03-03,,site_91,Kangan LNG Terminal,IRAN,lng_facility,gas,47.6,high,1.1119492675886226e-4,TRUE,TRUE,energy_sites_direct,energy_sites_direct,2
wiki_20260303_in_late_february_2026_the_unit_69,2026-03-03,,site_96,Persian NIOC LNG Terminal,IRAN,lng_facility,gas,380.8,high,1.1119492675886226e-4,TRUE,TRUE,energy_sites_direct,energy_sites_direct,3
wiki_20260303_iran_banned_food_exports_and_o_190,2026-03-03,,site_96,Persian NIOC LNG Terminal,IRAN,lng_facility,gas,380.8,high,1.1119492675886226e-4,TRUE,TRUE,energy_sites_direct,energy_sites_direct,3
wiki_20260303_iran_continued_its_strikes_on__185,2026-03-03,,site_96,Persian NIOC LNG Terminal,IRAN,lng_facility,gas,380.8,high,1.1119492675886226e-4,TRUE,TRUE,energy_sites_direct,energy_sites_direct,3
wiki_20260304_an_attack_on_the_port_197,2026-03-04,,site_36,PORT SUDAN,SUDAN,refinery,oil,21.7,high,0,TRUE,TRUE,energy_sites_direct,energy_sites_direct,1
wiki_20260304_israeli_airstrike_in_the_port_194,2026-03-04,,site_36,PORT SUDAN,SUDAN,refinery,oil,21.7,high,0,TRUE,TRUE,energy_sites_direct,energy_sites_direct,1
wiki_20260304_centcom_commander_admiral_brad_182,2026-03-04,,site_46,UMM SAID,QATAR,refinery,oil,200,high,0,TRUE,TRUE,energy_sites_direct,energy_sites_direct,1
wiki_20260304_centcom_commander_admiral_brad_182,2026-03-04,,site_4983,N/A,QATAR,other_energy_site,,,high,1.166703824377593,TRUE,FALSE,unmatched,ambiguous,2
