incident_day,site_id,site_name,country,asset_class,product_group,capacity_kboed_equiv,n_incidents_linked,max_confidence_tier
2026-03-12,site_5507,N/A,IRAN,other_energy_site,,,1,high
2026-03-12,site_5514,N/A,IRAN,other_energy_site,,,1,high
2026-03-12,site_53,AL ZOUR LNG IMPORT TERMINAL,KUWAIT,lng_facility,gas,498.2758620689655,1,high
2026-03-12,site_78,Al Zour LNG Terminal,KUWAIT,lng_facility,gas,523.6,1,high
2026-03-12,site_190,N/A,KUWAIT,petroleum_terminal,,,1,high
2026-03-12,site_5090,N/A,QATAR,other_energy_site,,,1,high
2026-03-12,site_5092,N/A,QATAR,other_energy_site,,,1,high
2026-03-12,site_99,QatarEnergy LNG (S),QATAR,lng_facility,gas,863.9399999999999,1,high
2026-03-12,site_71,RASGAS 1 LNG TERMINAL,QATAR,lng_facility,gas,177.58620689655174,1,high
2026-03-12,site_72,RASGAS 1 LNG TERMINAL,QATAR,lng_facility,gas,74.82758620689656,1,high
2026-03-13,site_3992,WESTERN DESERT 33,EGYPT,extraction_site,,,1,high
2026-03-13,site_90,Iran FLNG Terminal,IRAN,lng_facility,gas,11.9,1,high
2026-03-13,site_5347,N/A,IRAN,other_energy_site,,,1,high
2026-03-14,site_3571,PRINCE 1,EGYPT,extraction_site,,,1,high
2026-03-14,site_90,Iran FLNG Terminal,IRAN,lng_facility,gas,11.9,1,high
2026-03-14,site_214,N/A,IRAN,petroleum_terminal,,,1,high
2026-03-14,site_5345,N/A,IRAN,other_energy_site,,,1,high
2026-03-14,site_5346,N/A,IRAN,other_energy_site,,,1,high
2026-03-14,site_87,Eilat FLNG Terminal,ISRAEL,lng_facility,gas,122.332,1,high
2026-03-14,site_36,PORT SUDAN,SUDAN,refinery,oil,21.7,1,high
2026-03-14,site_88,Fujairah LNG Terminal,UNITED ARAB EMIRATES,lng_facility,gas,442.68000000000006,1,high
2026-03-16,site_801,GS 206-1A,EGYPT,extraction_site,,,1,high
2026-03-16,site_3873,TANKA EAST,EGYPT,extraction_site,,,1,high
2026-03-16,site_88,Fujairah LNG Terminal,UNITED ARAB EMIRATES,lng_facility,gas,442.68000000000006,1,high
2026-03-17,site_62,IRAN NIOC LNG TERMINAL,IRAN,lng_facility,gas,122.58620689655172,2,high
2026-03-17,site_91,Kangan LNG Terminal,IRAN,lng_facility,gas,47.6,2,high
2026-03-17,site_96,Persian NIOC LNG Terminal,IRAN,lng_facility,gas,380.8,2,high
2026-03-17,site_88,Fujairah LNG Terminal,UNITED ARAB EMIRATES,lng_facility,gas,442.68000000000006,1,high
2026-03-18,site_62,IRAN NIOC LNG TERMINAL,IRAN,lng_facility,gas,122.58620689655172,4,high
2026-03-18,site_91,Kangan LNG Terminal,IRAN,lng_facility,gas,47.6,4,high
2026-03-18,site_96,Persian NIOC LNG Terminal,IRAN,lng_facility,gas,380.8,4,high
2026-03-18,site_5090,N/A,QATAR,other_energy_site,,,1,high
2026-03-18,site_5092,N/A,QATAR,other_energy_site,,,1,high
2026-03-18,site_5095,N/A,QATAR,other_energy_site,,,1,high
2026-03-18,site_5099,N/A,QATAR,other_energy_site,,,1,high
